sectores_economicos;economic_sectors;2004_set;2004_oct;2004_nov;2004_dic;2004_year;2005_ene;2005_feb;2005_mar;2005_abr;2005_may;2005_jun;2005_jul;2005_ago;2005_set;2005_ene_set
agropecuario;agriculture and livestock;0.7;0.2;4.8;3.4;-1.1;1.6;4.1;3;8.1;3.2;8.5;6.6;3.4;5;5
agricola;agriculture;0;-1.9;7.4;1.5;-3.2;-0.6;3.5;1.9;10.6;2.5;9.9;7.8;0.4;2;4.8
pecuario;livestock;0.7;2.1;0.7;5.2;2;4.2;4.8;4.4;3.5;4.6;6;5.1;6.6;7.9;5.2
pesca;fishing;53.3;1.3;37;40.9;30.5;8;20.8;9.3;-0.2;2.4;-6.7;-17.1;4.9;-18;-0.5
mineria e hidrocarburos;mining and fuel;0.2;2.4;4.9;7.7;5.4;0;-0.3;2.8;0.1;4.8;11.6;15.8;8.8;10.9;5.9
mineria;metals;-1.2;0.7;3.3;7.2;5.3;-2.2;-2.8;0.2;-2.9;2;9.4;13.8;7;11.4;3.9
hidrocarburos;fuel;23.6;28.9;30.4;17.5;7.1;30.1;36.3;36.2;39.2;38.5;36.2;37.7;29.8;6.1;31.5
manufactura;manufacturing;4.2;6;11.1;10.1;6.7;6.7;9.4;2.7;6.4;9.2;6.3;3.1;9;6;6.5
procesadores recursos primarios;based on raw materials;-5.9;-0.5;10.9;8.7;5.9;-2.9;4.1;-3.3;-1.1;3.6;-3.9;-7.5;2.5;3.9;-0.7
industria no primaria;non primary industries;6.6;7.8;11.2;10.5;6.9;1.8;10.5;3.9;8.3;10.9;9;5.8;10.3;6.4;8.2
electricidad y agua;electricity and water;5.5;3.2;4.6;6.8;4.6;4;1.8;4.1;5.5;6.6;4.8;5.3;6.1;5.8;5.1
construcción;construction;5;-2.8;8.3;7.9;4.7;4.7;4;-0.1;10.6;8;3.6;10.2;10.8;10.6;6.9
comercio;commerce;5.9;4.4;13.6;9.7;4.8;8.7;8.5;4.4;8.3;6.9;3.9;5.7;4;4.1;6.1
otros servicios;other services;4.9;1.1;8.8;9.3;4.7;7.2;10.2;5;3.8;6.8;5.3;3.1;5.1;7;5.9
valor agregado bruto;gross aggreagated value;4.3;2.2;9.3;8.9;4.6;6.1;7.9;3.9;5.5;6.6;5.8;5;6.1;6.6;5.9
impuestos a los productos y derechos de importación;taxes on products and import duties;7.9;2.9;3.7;6.9;6.4;8.1;2.7;10.6;10.8;6;-1.5;5.5;12.7;-1.8;5.8
pbi;gdp;4.7;2.3;8.7;8.7;4.8;6.3;7.4;4.5;6;6.6;5.1;5;6.7;5.7;5.9
vab sectores primarios;primary sectors;0.1;0.9;7;6.9;3.1;0.4;2.7;2.1;3.8;3.7;6.8;6.3;5.4;6.8;4.2
vab sectores no primarios;non primary sectors;5.4;2.5;9.9;9.4;5.1;7.6;9.3;4.3;6;7.6;-5.5;4.6;6.2;6.6;6.4
pbi desestacionalizado;seasonally adjusted gdp;-0.1;0.6;1.3;0.9;;0.2;1.3;-1.7;0.6;-0.3;0;2.3;0.1;0.3;
demanda interna;domestic demand;4.1;-0.2;9;7.6;3.9;4.5;6.9;2.2;5.2;6.5;2;5.4;6.7;6.1;6
demanda interna desestacionalizada;seasonally adjusted domestic demand;-0.3;0.4;1.5;0.6;;-1.7;1.5;-2.1;3.1;-1.3;0.6;3.9;-1.7;1;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
