sectores_economicos;economic_sectors;2002_set;2002_oct;2002_nov;2002_dic;2002_year;2003_ene;2003_feb;2003_mar;2003_abr;2003_may;2003_jun;2003_jul;2003_ago;2003_set;2003_ene_set
agropecuario;agriculture and livestock;6.2;3;8.6;6.5;5.7;5.2;1.4;0.6;5.4;0.6;7.2;5.1;2.3;0.8;3.2
agricola;agriculture;4.5;2.1;9.6;9.8;6.1;4.9;0.3;-1.7;5.5;-0.5;9.2;4.7;2.5;-0.7;2.9
pecuario;livestock;8.6;4.7;7.4;3.6;5.3;5.7;2.7;3.8;5.1;3.3;3.3;5.5;2;2.3;3.7
pesca;fishing;14.4;-19.3;61;57.5;5.7;-20.7;8.5;-25.4;10.3;-23.6;-31.2;-26.2;5.2;-5.8;-14.8
mineria e hidrocarburos;mining and fuel;4.2;4.6;2.8;-1.3;11.6;2.9;9.9;1.4;8.2;14;10.3;11.9;1.2;10;7.6
mineria;metals;3.9;4.6;2.5;-1.5;12.3;3.9;11.7;2;9.1;15.8;11.2;13.5;2.3;11.7;8.9
hidrocarburos;fuel;0.3;-1.4;0.6;-5.4;0.6;-7.7;-6.9;-4;-0.8;-3.1;0.2;-4;-10.3;-7.5;-4.9
manufactura;manufacturing;6.6;1.1;6.7;11.4;4.2;4.6;7.4;6.1;-0.6;-0.6;3.6;1.1;1.4;2.6;2.8
procesadores recursos primarios;based on raw materials;-0.3;-5.7;18.4;11.5;1;-5.5;4.2;-4.3;9.5;-6.4;-10.2;-7.8;2.7;2.6;-2
industria no primaria;non primary industries;8.5;3.1;3.4;11.4;5.2;7.2;8.1;8.8;-3.3;1.2;7.7;3.5;1.1;2.6;4
electricidad y agua;electricity and water;5.7;5.4;5;5.6;5.1;4.4;6;4.1;2.1;3.6;6.5;6;4.8;3.6;4.5
construcción;construction;12.6;3.6;2;5;7.9;-4.7;4.5;11.4;1.9;3.3;8.8;0.3;3.4;2.3;3.3
comercio;commerce;8.4;2.7;5.3;7.5;4.6;8;6;9;2.8;-1.1;7.6;3.4;3.1;2.3;4.4
otros servicios;other services;7.7;3.5;5.6;0.4;3.8;6.2;5.5;5.6;4;2.8;4.9;4.6;2.3;2.5;4.2
valor agregado bruto;gross aggreagated value;7.5;2.9;5.8;4.1;5;5;5.8;5.5;3.4;1.8;6.7;4;2.4;2.9;4
impuestos a los productos y derechos de importación;taxes on products and import duties;12.7;8.2;7.8;9.9;3.9;8.8;11;16;1.1;0.6;11.7;1.5;10.6;9.9;7.7
pbi;gdp;8;3.4;6;4.7;4.9;6.4;6.3;6.4;3.2;1.7;6.2;3.8;3.1;3.6;4.3
vab sectores primarios;primary sectors;4.4;1.4;9.3;5.5;6.7;1.7;4.9;-0.6;7;2;3.9;4.1;2;4.5;3.3
vab sectores no primarios;non primary sectors;8.2;3.3;4.9;3.8;4.5;5.9;6;7.2;2.4;1.7;6.2;4;2.5;2.5;4.2
pbi desestacionalizado;seasonally adjusted gdp;1.8;-1.1;2.3;-0.2;;0.1;0.4;-0.4;2.3;-2.7;1.8;-0.1;-0.9;1;
demanda interna;domestic demand;6.5;4;6.4;6.3;4.1;4.4;4.4;9.3;0.8;-0.2;7.8;3.8;3.8;4.1;4.1
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.9;-1.2;2.5;-1;;1.6;-1.7;2.7;-0.2;-3;2.4;1.8;1.6;-0.8;
