ns,table,year,issue,path,rows,cols,sha256,pipeline_version,timestamp
ns-04-2021,table_2,2021,04,data\clean\table_2\2021\ns-04-2021.csv,11,20,c94787089c41bf3451b18da8e7d455548025d2ea8e1397cbdbc2c77c13a9f12f,s3.0.0,2025-10-06 17:34:06
ns-08-2021,table_2,2021,08,data\clean\table_2\2021\ns-08-2021.csv,11,20,78f4f0a499c081d58c2eeba863c1d840962cab425d613a52f0a16a7715f2bcc2,s3.0.0,2025-10-06 17:34:06
ns-12-2021,table_2,2021,12,data\clean\table_2\2021\ns-12-2021.csv,11,20,736f70af34762414f737ca9b5766ba800f1147d013aeb58488e91e219ae4b637,s3.0.0,2025-10-06 17:34:06
ns-16-2021,table_2,2021,16,data\clean\table_2\2021\ns-16-2021.csv,11,20,5f696c8626f001aa219feb946d3f7cf7a02ea85c2d2644371acd799add580b97,s3.0.0,2025-10-06 17:34:07
ns-20-2021,table_2,2021,20,data\clean\table_2\2021\ns-20-2021.csv,11,20,bee65d54f4daaac9c9652b78ddd6b9f9be0e6e531ddfa5626c01646a3574e337,s3.0.0,2025-10-06 17:34:07
ns-24-2021,table_2,2021,24,data\clean\table_2\2021\ns-24-2021.csv,11,20,b7a0ad82a2aaf68223bc93f9da02e4dcade7a1aa199b8cb10b24255753a6c846,s3.0.0,2025-10-06 17:34:08
ns-27-2021,table_2,2021,27,data\clean\table_2\2021\ns-27-2021.csv,11,20,8f9eed99fc370a9d28705aaf1c7155c81d7bba57f831739536649908328141be,s3.0.0,2025-10-06 17:34:08
ns-31-2021,table_2,2021,31,data\clean\table_2\2021\ns-31-2021.csv,11,16,3e84d82abb3e9ddf1f559a4221ffb633e5ec2a2a5b83347e2dd9b182218bbb8e,s3.0.0,2025-10-06 17:34:09
ns-34-2021,table_2,2021,34,data\clean\table_2\2021\ns-34-2021.csv,11,16,f8fbef77bb0d40e51a2f256b5729c683dee886c08190a6a41dd87d9b21258093,s3.0.0,2025-10-06 17:34:09
ns-38-2021,table_2,2021,38,data\clean\table_2\2021\ns-38-2021.csv,11,16,55ad144fb5e1e6b7f6d9a798d31d5b7a9a36e93942fd3c2265344f26c955b914,s3.0.0,2025-10-06 17:34:09
ns-42-2021,table_2,2021,42,data\clean\table_2\2021\ns-42-2021.csv,11,17,47df6dec8d2cdd6f833bd99a356e553db89008393e8d3fe23d8e72d3341e5c2f,s3.0.0,2025-10-06 17:34:10
ns-46-2021,table_2,2021,46,data\clean\table_2\2021\ns-46-2021.csv,11,17,d6432cc0768765a97019587b669bf3306431bf842182ec4651d0d11d657bd837,s3.0.0,2025-10-06 17:34:10
ns-04-2022,table_2,2022,04,data\clean\table_2\2022\ns-04-2022.csv,11,17,d84f601f84762d633968a0ebe3ab83ad7a8b6240c87fa12ecc1a56066b3f3436,s3.0.0,2025-10-06 17:34:11
ns-08-2022,table_2,2022,08,data\clean\table_2\2022\ns-08-2022.csv,11,20,5c077c09c9fc2292bf5365e7fefd65c5442e9095aa5c08c673bb532ee4edc0f5,s3.0.0,2025-10-06 17:34:11
ns-12-2022,table_2,2022,12,data\clean\table_2\2022\ns-12-2022.csv,11,20,29ddaa4f985b59a271142ee5b57c97f9c9aa590035d2a0169380c9d4eb5060d3,s3.0.0,2025-10-06 17:34:11
ns-16-2022,table_2,2022,16,data\clean\table_2\2022\ns-16-2022.csv,11,20,24d113af7c8b762b1e5b51dac1fbfdfd6b9bb746190506ce6801e3193ef6dd86,s3.0.0,2025-10-06 17:34:12
ns-20-2022,table_2,2022,20,data\clean\table_2\2022\ns-20-2022.csv,11,20,94c8020c2b061517f41de6c142a6e98df5bfb2310633cfa5c3bad2e8cdcb78d6,s3.0.0,2025-10-06 17:34:12
ns-23-2022,table_2,2022,23,data\clean\table_2\2022\ns-23-2022.csv,11,20,7de18b3144f2fb6237dfeadef0a68a98fbb76208db6c9d4dec239473a264e0b1,s3.0.0,2025-10-06 17:34:13
ns-26-2022,table_2,2022,26,data\clean\table_2\2022\ns-26-2022.csv,11,20,1454ddcbb9685cdf494938b61f2b2da2620ec5aad1ee268a2f5c46f16db5268c,s3.0.0,2025-10-06 17:34:13
ns-30-2022,table_2,2022,30,data\clean\table_2\2022\ns-30-2022.csv,11,20,6fe5acf24a4f98f5f1cac6646b957c70d6409b0b34c4a283d6902f2deec23c72,s3.0.0,2025-10-06 17:34:13
ns-33-2022,table_2,2022,33,data\clean\table_2\2022\ns-33-2022.csv,11,20,fdf4ea6c45e75de80cbaeb0bfc0c7fd6e7da46d25c597fa7721c77e54f1e9631,s3.0.0,2025-10-06 17:34:14
ns-37-2022,table_2,2022,37,data\clean\table_2\2022\ns-37-2022.csv,11,20,10fea27e72ee18fd88cfc8975fef8cabaebc1c757ddb228b1e989dda2e896c92,s3.0.0,2025-10-06 17:34:14
ns-41-2022,table_2,2022,41,data\clean\table_2\2022\ns-41-2022.csv,11,20,1de1775976050425a43c3a1f74635dabe9483fd10e8ba9481af6d84f550aa7c5,s3.0.0,2025-10-06 17:34:15
ns-44-2022,table_2,2022,44,data\clean\table_2\2022\ns-44-2022.csv,11,20,93167932c23175b1c827895ac25cd0a67c9a71f5cd29b2d432bd0a4b7e8bd3e3,s3.0.0,2025-10-06 17:34:15
ns-04-2013,table_2,2013,04,data\clean\table_2\2013\ns-04-2013.csv,17,17,e23a8e27d48ea84a4882af6e2ac2b50b6cbe0116ff192be2f2950b070fcbfda6,s3.0.0,2025-10-06 13:23:45
ns-08-2013,table_2,2013,08,data\clean\table_2\2013\ns-08-2013.csv,17,19,f0c89041a052dbaadff97af904ab5f2d2cf0366a93a871aebfe34dc740bbdd89,s3.0.0,2025-10-06 13:23:46
ns-12-2013,table_2,2013,12,data\clean\table_2\2013\ns-12-2013.csv,17,19,bcc052c014da673bceffaa39de5b348627819f54413d547aaa8ff87c91645700,s3.0.0,2025-10-06 13:23:46
ns-16-2013,table_2,2013,16,data\clean\table_2\2013\ns-16-2013.csv,17,19,7b3d63f8ea741696d22a16a7196d7e3ad1ff20cbc69287f01a4d18162bb5e97e,s3.0.0,2025-10-06 13:23:46
ns-21-2013,table_2,2013,21,data\clean\table_2\2013\ns-21-2013.csv,17,20,e2ea86bdda850f9c722b7e07d230703fe78c7f841f872e0102efcf96569d48f5,s3.0.0,2025-10-06 13:23:46
ns-25-2013,table_2,2013,25,data\clean\table_2\2013\ns-25-2013.csv,17,15,752aaaef1916714019d180d1148c498a7161b07b295d58561e249fea9a629a94,s3.0.0,2025-10-06 13:23:46
ns-29-2013,table_2,2013,29,data\clean\table_2\2013\ns-29-2013.csv,17,15,0c9ab962267de512bdc1710369427b9830571a6ef90e70db6b8643db1799504b,s3.0.0,2025-10-06 13:23:47
ns-33-2013,table_2,2013,33,data\clean\table_2\2013\ns-33-2013.csv,17,21,174e8ba4cd48470711f48bc34de4aeaacfc662e6cd9fea3e7266be6f7c4178fa,s3.0.0,2025-10-06 13:23:47
ns-37-2013,table_2,2013,37,data\clean\table_2\2013\ns-37-2013.csv,17,21,726fe74c756e6c038b346d42d141d9e9944f9acba2051b72e99be92e42de8bd2,s3.0.0,2025-10-06 13:23:47
ns-42-2013,table_2,2013,42,data\clean\table_2\2013\ns-42-2013.csv,17,21,0013b57dab75a129e50996e34262ea7308e7949a2a99c0ab2d090696231024ef,s3.0.0,2025-10-06 13:23:48
ns-46-2013,table_2,2013,46,data\clean\table_2\2013\ns-46-2013.csv,17,17,e71a8e4b4683d656ccbb74fb395fdef797f29c74b4b33f75055422505e6644af,s3.0.0,2025-10-06 13:23:48
ns-50-2013,table_2,2013,50,data\clean\table_2\2013\ns-50-2013.csv,17,17,2ae82afa3e2cfdb89cee4ecfa7b0744a68f02f101dc3c12f10adff3f1c3e88fc,s3.0.0,2025-10-06 13:23:48
ns-04-2014,table_2,2014,04,data\clean\table_2\2014\ns-04-2014.csv,17,17,7d9abd5698613144fac8ada861c0fffb45403ddca0c1c3c5f7dbb04173ae8879,s3.0.0,2025-10-06 13:23:49
ns-08-2014,table_2,2014,08,data\clean\table_2\2014\ns-08-2014.csv,17,19,181e2d0a529919d143fd69d7ad457ecfd7f07f925e9555b721404f741b498eb7,s3.0.0,2025-10-06 13:23:49
ns-12-2014,table_2,2014,12,data\clean\table_2\2014\ns-12-2014.csv,17,19,f1e573cbb5f82d0fa3cdb9583184e0bbfe349586c62ad42b1d600b45bba938ad,s3.0.0,2025-10-06 13:23:49
ns-15-2014,table_2,2014,15,data\clean\table_2\2014\ns-15-2014.csv,17,19,4c79b20dce6cd1ba17c646152fb4a939e11227c7f4fe61e7ef53a0e4e3d5f178,s3.0.0,2025-10-06 13:23:50
ns-20-2014,table_2,2014,20,data\clean\table_2\2014\ns-20-2014.csv,17,15,6bf1c3bc093c5388f0b660cd6bf4b21cb8887c94bda1c0696bc1889315dc4291,s3.0.0,2025-10-06 13:23:50
ns-24-2014,table_2,2014,24,data\clean\table_2\2014\ns-24-2014.csv,17,15,9c3ac3cbc722965ad088ad0b550da955638e418d62e87f6264a695202cb4a50e,s3.0.0,2025-10-06 13:23:50
ns-28-2014,table_2,2014,28,data\clean\table_2\2014\ns-28-2014.csv,17,15,1af7ea6b8306b5123c71c79230fae941fcca265e273132a83dace8d22825454e,s3.0.0,2025-10-06 13:23:50
ns-32-2014,table_2,2014,32,data\clean\table_2\2014\ns-32-2014.csv,17,16,57d8115fb314b34499dc1a34305c69674443cddd47765ee616754adda12ca170,s3.0.0,2025-10-06 13:23:51
ns-36-2014,table_2,2014,36,data\clean\table_2\2014\ns-36-2014.csv,9,16,e685ed45f0216bd598223efd710d62ef828b4fbcd359e530e1275d2d44ff008f,s3.0.0,2025-10-06 13:23:51
ns-41-2014,table_2,2014,41,data\clean\table_2\2014\ns-41-2014.csv,9,16,1ae4c14fd7cf1e2c42a18891d4b3f8df1e217943dc61f5859ed46dd65fc63c2e,s3.0.0,2025-10-06 13:23:51
ns-45-2014,table_2,2014,45,data\clean\table_2\2014\ns-45-2014.csv,9,17,6265b908770d1c8c783d5157c7b0fdfb95a9c34b93c8e34805fb800954c3062d,s3.0.0,2025-10-06 13:23:52
ns-49-2014,table_2,2014,49,data\clean\table_2\2014\ns-49-2014.csv,9,17,e8a3d94c3b924b199552bc758a3cc9ea35c562bf7f887c2e9664990a1fac7657,s3.0.0,2025-10-06 13:23:52
ns-04-2015,table_2,2015,04,data\clean\table_2\2015\ns-04-2015.csv,9,17,bbcc97ddabd93fee7f38c760d2dd8695cd8a3b4166f18027a3e70b336bcc018a,s3.0.0,2025-10-06 13:23:52
ns-08-2015,table_2,2015,08,data\clean\table_2\2015\ns-08-2015.csv,9,19,36d52f80e439187994e2528f6a7456fc8c0400681337d8c1976f3cb2049e77b9,s3.0.0,2025-10-06 13:23:53
ns-12-2015,table_2,2015,12,data\clean\table_2\2015\ns-12-2015.csv,9,19,9b05c8c04d315943bc051935af7387edcb3880c902e433fe822e76f9bb7990d1,s3.0.0,2025-10-06 13:23:53
ns-16-2015,table_2,2015,16,data\clean\table_2\2015\ns-16-2015.csv,9,19,6bba83502557d075d5b572b98885c224455276bb98d8b0de03e4986f15591719,s3.0.0,2025-10-06 13:23:53
ns-21-2015,table_2,2015,21,data\clean\table_2\2015\ns-21-2015.csv,9,15,3fb693c8b77fa9963c2ddc14c1b9c082cec85ca9e851668e2cf27a49cfe7f799,s3.0.0,2025-10-06 13:23:54
ns-24-2015,table_2,2015,24,data\clean\table_2\2015\ns-24-2015.csv,9,15,b2bf236cb52d512b60261df15e60789f3d33ed64952dbb55e3eeaefeeca69139,s3.0.0,2025-10-06 13:23:54
ns-28-2015,table_2,2015,28,data\clean\table_2\2015\ns-28-2015.csv,9,15,6856ce67d17dca455ab3b30409bcedbf2d5b120c29397c95f45c1bbb5b1b12ad,s3.0.0,2025-10-06 13:23:54
ns-32-2015,table_2,2015,32,data\clean\table_2\2015\ns-32-2015.csv,9,16,b487b2d62bfadb2f59002a1603dfc2259402f5b3a329744d98b69536f1631289,s3.0.0,2025-10-06 13:23:55
ns-36-2015,table_2,2015,36,data\clean\table_2\2015\ns-36-2015.csv,9,16,091c8b018cf9c1cd0be6210f8418f3b0d17fc652651fc82bcafd2172af555360,s3.0.0,2025-10-06 13:23:55
ns-40-2015,table_2,2015,40,data\clean\table_2\2015\ns-40-2015.csv,9,16,21cfb56b55fb199364493ea8a2cadcbf50f841531505cf47eb804a89e6cda7b5,s3.0.0,2025-10-06 13:23:55
ns-45-2015,table_2,2015,45,data\clean\table_2\2015\ns-45-2015.csv,9,17,6c0faa6e79bc9e1b962e33ab49f4f90a20bf6da372ce8baff1ad2ec1b41bfce1,s3.0.0,2025-10-06 13:23:56
ns-48-2015,table_2,2015,48,data\clean\table_2\2015\ns-48-2015.csv,9,17,92d71604abf53f7cd044cd11f8eb88abe82a09c699cd6a023a353ed63658489a,s3.0.0,2025-10-06 13:23:56
ns-04-2016,table_2,2016,04,data\clean\table_2\2016\ns-04-2016.csv,9,17,4445406c054b74e1128e0a235888d33f7bc0baf2dcc52cfeb62278084c82725e,s3.0.0,2025-10-06 13:23:56
ns-08-2016,table_2,2016,08,data\clean\table_2\2016\ns-08-2016.csv,9,19,defa7d9a8c1667ff9e409f2ff78f0a9a6401043bd08c22a6c1ad524f5b08b785,s3.0.0,2025-10-06 13:23:57
ns-11-2016,table_2,2016,11,data\clean\table_2\2016\ns-11-2016.csv,9,19,e7a4130c724e119404aeeedd33e4f0375c8956af7af677e378f72267f346da68,s3.0.0,2025-10-06 13:23:57
ns-16-2016,table_2,2016,16,data\clean\table_2\2016\ns-16-2016.csv,9,19,158fa1e1329a168bcfb20e1f5b3c25604146b688a068e02934394188606d996f,s3.0.0,2025-10-06 13:23:57
ns-20-2016,table_2,2016,20,data\clean\table_2\2016\ns-20-2016.csv,9,15,4bdea337331f7c6c9accaecb330f020a77f5ef0904bb83e3087cf0b294c243c2,s3.0.0,2025-10-06 13:23:58
ns-24-2016,table_2,2016,24,data\clean\table_2\2016\ns-24-2016.csv,9,15,1f790081c1eace2aadc471f7740c117b18f82419490569cab5ce7523e4fb5ea7,s3.0.0,2025-10-06 13:23:58
ns-28-2016,table_2,2016,28,data\clean\table_2\2016\ns-28-2016.csv,9,15,12e5d4278326b02f0eec8cb932b7f55543248456348d41cebf0bd7e60d3275b3,s3.0.0,2025-10-06 13:23:58
ns-32-2016,table_2,2016,32,data\clean\table_2\2016\ns-32-2016.csv,9,16,8fd8e285fa80c928e82c476a24f6d23e135fdef44006e590b69333621edf3d37,s3.0.0,2025-10-06 13:23:59
ns-37-2016,table_2,2016,37,data\clean\table_2\2016\ns-37-2016.csv,9,16,e671990788c00c0189d4bcef3b609068015a04c4f162cc47ff1c0ccc09dd5958,s3.0.0,2025-10-06 13:23:59
ns-41-2016,table_2,2016,41,data\clean\table_2\2016\ns-41-2016.csv,9,16,d67e7eeb7995f2952ff0017add55029ae277571ce6d69042d520ef4375bd9a6f,s3.0.0,2025-10-06 13:23:59
ns-44-2016,table_2,2016,44,data\clean\table_2\2016\ns-44-2016.csv,9,17,b95d6c5912603cc8ad944d831a0e8cbcbc2e7c66f1a47b0e96c354b39a2a746b,s3.0.0,2025-10-06 13:24:00
ns-48-2016,table_2,2016,48,data\clean\table_2\2016\ns-48-2016.csv,9,17,0dca819f7b3043b95b8f8cce319f8d94ba77102c3623bb63a7838a3a57f370d0,s3.0.0,2025-10-06 13:24:00
ns-04-2017,table_2,2017,04,data\clean\table_2\2017\ns-04-2017.csv,9,17,24794b8b5c54c844d5b47ca597fe76e2236bd56b39a17a6188b82327d68b1f19,s3.0.0,2025-10-06 13:24:00
ns-07-2017,table_2,2017,07,data\clean\table_2\2017\ns-07-2017.csv,9,17,34939311de275633dd43a859353ef53bd13aea467b90f8a76bff642d8b94157f,s3.0.0,2025-10-06 13:24:00
ns-13-2017,table_2,2017,13,data\clean\table_2\2017\ns-13-2017.csv,9,19,8da4e42189bfcaf9b42e9b10393e617c3ddb11291cf71f9a6485706a45b52c69,s3.0.0,2025-10-06 13:24:01
ns-16-2017,table_2,2017,16,data\clean\table_2\2017\ns-16-2017.csv,9,19,dc9929fe5370caa57b6a66e00a71fb33afa19e2c88e337cb1036bf1631e5e018,s3.0.0,2025-10-06 13:24:01
ns-20-2017,table_2,2017,20,data\clean\table_2\2017\ns-20-2017.csv,9,20,8ce891cc9062156a22cfd4d129037bf777202076e3a9e01201094f8a1dca2908,s3.0.0,2025-10-06 13:24:01
ns-25-2017,table_2,2017,25,data\clean\table_2\2017\ns-25-2017.csv,9,20,59f085183ba23c4c01551452f730b5aad6a1ee65befa64d01f390a5fb54be89e,s3.0.0,2025-10-06 13:24:02
ns-28-2017,table_2,2017,28,data\clean\table_2\2017\ns-28-2017.csv,9,20,4c2550e0f2d1a62abba6a75e00fb6fe19d14415d7013f5e39c522331dab1def7,s3.0.0,2025-10-06 13:24:02
